superficieEtage1,superficieEtage2,superficieRallonge3Saisons,typeAlleeAcces,nbChambres,typeBatiment,conditionSousSol,expositionSousSol,superficieFinieSousSol1,superficieFinieSousSol2,qualiteSurfaceFinieSousSol1,qualiteSurfaceFinieSousSol2,nbSallesBainSs,nbDemiSallesBainSs,qualiteSousSol,superficieSousSolNonAmenagee,climatisation,proxRoute1,proxRoute2,systElectrique,superficiePorcheFerme,conditionExterieur,qualiteExterieur,materiauExterieur1,materiauExterieur2,cloture,qualiteCheminee,nbCheminees,fondation,nbSallesBain,fonctionnalites,superficieGarage,nbPlacesVoiture,conditionGarage,interieurGarage,qualiteGarage,typeGarage,anneeConstrGarage,superficieHabitableSaufSs,nbDemiSallesBain,chauffage,qualiteChauffage,styleBatiment,id,nbCuisines,qualiteCuisine,contourTerrain,penteTerrain,superficieTerrain,configTerrain,longTerrainRue,formeTerrain,superficieQualiteInferieure,typeClasseBatiment,zonage,superficiePlacageMaconnerie,typePlacageMaconnerie,elementsDivers,valeursElementsDivers,moisVente,quartier,superficiePorcheOuvert,conditionGlobale,qualiteGlobale,alleePavee,superficiePiscine,qualitePiscine,materiauToit,styleToit,conditionVente,prix,typeVente,superficieSolarium,typeRouteAcces,nbPieces,superficieTotaleSousSol,utilites,superficieTerrasseBois,anneeConstruction,anneeRenovation,anneeVente
856,854,0,No alley access,3,1Fam,TA,No,706.0,0.0,GLQ,Unf,1.0,0.0,Gd,150.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,No Fireplace,0,PConc,2,Typ,548.0,2.0,TA,RFn,TA,Attchd,2003.0,1710.0,1,GasA,Ex,2Story,1,1,Gd,Lvl,Gtl,8450.0,Inside,65.0,Reg,0,60,RL,196.0,BrkFace,No Miscellaneous feature,0,2,CollgCr,61.0,5,7,Y,0,No Pool,CompShg,Gable,Normal,208500.0,WD,0,Pave,8,856.0,AllPub,0.0,2003,2003,2008
1262,0,0,No alley access,3,1Fam,TA,Gd,978.0,0.0,ALQ,Unf,0.0,1.0,Gd,284.0,Y,Feedr,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,No Fence,TA,1,CBlock,2,Typ,460.0,2.0,TA,RFn,TA,Attchd,1976.0,1262.0,0,GasA,Ex,1Story,2,1,TA,Lvl,Gtl,9600.0,FR2,80.0,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,5,Veenker,0.0,8,6,Y,0,No Pool,CompShg,Gable,Normal,181500.0,WD,0,Pave,6,1262.0,AllPub,298.0,1976,1976,2007
920,866,0,No alley access,3,1Fam,TA,Mn,486.0,0.0,GLQ,Unf,1.0,0.0,Gd,434.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,TA,1,PConc,2,Typ,607.9999999999999,2.0,TA,RFn,TA,Attchd,2001.0,1786.0000000000002,1,GasA,Ex,2Story,3,1,Gd,Lvl,Gtl,11250.0,Inside,68.0,IR1,0,60,RL,162.0,BrkFace,No Miscellaneous feature,0,9,CollgCr,42.00000000000001,5,7,Y,0,No Pool,CompShg,Gable,Normal,223500.0,WD,0,Pave,6,920.0,AllPub,0.0,2001,2002,2008
961,756,0,No alley access,3,1Fam,Gd,No,216.0,0.0,ALQ,Unf,1.0,0.0,TA,540.0,Y,Norm,Norm,SBrkr,272,TA,TA,Wd Sdng,Wd Shng,No Fence,Gd,1,BrkTil,1,Typ,642.0,3.0,TA,Unf,TA,Detchd,1998.0,1717.0,0,GasA,Gd,2Story,4,1,Gd,Lvl,Gtl,9550.0,Corner,60.0,IR1,0,70,RL,0.0,None,No Miscellaneous feature,0,2,Crawfor,35.0,5,7,Y,0,No Pool,CompShg,Gable,Abnorml,140000.0,WD,0,Pave,7,756.0,AllPub,0.0,1915,1970,2006
1145,1053,0,No alley access,4,1Fam,TA,Av,655.0,0.0,GLQ,Unf,1.0,0.0,Gd,490.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,TA,1,PConc,2,Typ,836.0,3.0,TA,RFn,TA,Attchd,2000.0,2198.0,1,GasA,Ex,2Story,5,1,Gd,Lvl,Gtl,14259.999999999998,FR2,84.0,IR1,0,60,RL,350.0,BrkFace,No Miscellaneous feature,0,12,NoRidge,84.0,5,8,Y,0,No Pool,CompShg,Gable,Normal,250000.0,WD,0,Pave,9,1145.0,AllPub,192.0,2000,2000,2008
796,566,320,No alley access,1,1Fam,TA,No,732.0,0.0,GLQ,Unf,1.0,0.0,Gd,64.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,No Fireplace,0,Wood,1,Typ,480.0,2.0,TA,Unf,TA,Attchd,1993.0,1362.0,1,GasA,Ex,1.5Fin,6,1,TA,Lvl,Gtl,14115.0,Inside,85.0,IR1,0,50,RL,0.0,None,Shed,700,10,Mitchel,30.0,5,5,Y,0,No Pool,CompShg,Gable,Normal,143000.00000000003,WD,0,Pave,5,796.0,AllPub,40.0,1993,1995,2009
1694,0,0,No alley access,3,1Fam,TA,Av,1369.0,0.0,GLQ,Unf,1.0,0.0,Ex,317.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,2,Typ,635.9999999999999,2.0,TA,RFn,TA,Attchd,2004.0,1694.0,0,GasA,Ex,1Story,7,1,Gd,Lvl,Gtl,10084.0,Inside,75.0,Reg,0,20,RL,186.0,Stone,No Miscellaneous feature,0,8,Somerst,57.0,5,8,Y,0,No Pool,CompShg,Gable,Normal,307000.0,WD,0,Pave,7,1686.0,AllPub,254.99999999999997,2004,2005,2007
1107,983,0,No alley access,3,1Fam,TA,Mn,859.0,32.0,ALQ,BLQ,1.0,0.0,Gd,216.0,Y,PosN,Norm,SBrkr,228,TA,TA,HdBoard,HdBoard,No Fence,TA,2,CBlock,2,Typ,484.0,2.0,TA,RFn,TA,Attchd,1973.0,2090.0,1,GasA,Ex,2Story,8,1,TA,Lvl,Gtl,10382.0,Corner,69.02272727272727,IR1,0,60,RL,240.0,Stone,Shed,350,11,NWAmes,203.99999999999997,6,7,Y,0,No Pool,CompShg,Gable,Normal,200000.0,WD,0,Pave,7,1106.9999999999998,AllPub,235.0,1973,1973,2009
1022,752,0,No alley access,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,952.0,Y,Artery,Norm,FuseF,205,TA,TA,BrkFace,Wd Shng,No Fence,TA,2,BrkTil,2,Min1,467.99999999999994,2.0,TA,Unf,Fa,Detchd,1931.0,1774.0,0,GasA,Gd,1.5Fin,9,2,TA,Lvl,Gtl,6120.0,Inside,51.0,Reg,0,50,RM,0.0,None,No Miscellaneous feature,0,4,OldTown,0.0,5,7,Y,0,No Pool,CompShg,Gable,Abnorml,129900.0,WD,0,Pave,8,951.9999999999999,AllPub,90.0,1931,1950,2008
1077,0,0,No alley access,2,2fmCon,TA,No,851.0,0.0,GLQ,Unf,1.0,0.0,TA,140.0,Y,Artery,Artery,SBrkr,0,TA,TA,MetalSd,MetalSd,No Fence,TA,2,BrkTil,1,Typ,205.0,1.0,TA,RFn,Gd,Attchd,1939.0,1077.0,0,GasA,Ex,1.5Unf,10,2,TA,Lvl,Gtl,7420.0,Corner,50.0,Reg,0,190,RL,0.0,None,No Miscellaneous feature,0,1,BrkSide,4.0,6,5,Y,0,No Pool,CompShg,Gable,Normal,118000.0,WD,0,Pave,5,990.9999999999999,AllPub,0.0,1939,1950,2008
