superficieEtage1,superficieEtage2,superficieRallonge3Saisons,typeAlleeAcces,nbChambres,typeBatiment,conditionSousSol,expositionSousSol,superficieFinieSousSol1,superficieFinieSousSol2,qualiteSurfaceFinieSousSol1,qualiteSurfaceFinieSousSol2,nbSallesBainSs,nbDemiSallesBainSs,qualiteSousSol,superficieSousSolNonAmenagee,climatisation,proxRoute1,proxRoute2,systElectrique,superficiePorcheFerme,conditionExterieur,qualiteExterieur,materiauExterieur1,materiauExterieur2,cloture,qualiteCheminee,nbCheminees,fondation,nbSallesBain,fonctionnalites,superficieGarage,nbPlacesVoiture,conditionGarage,interieurGarage,qualiteGarage,typeGarage,anneeConstrGarage,superficieHabitableSaufSs,nbDemiSallesBain,chauffage,qualiteChauffage,styleBatiment,id,nbCuisines,qualiteCuisine,contourTerrain,penteTerrain,superficieTerrain,configTerrain,longTerrainRue,formeTerrain,superficieQualiteInferieure,typeClasseBatiment,zonage,superficiePlacageMaconnerie,typePlacageMaconnerie,elementsDivers,valeursElementsDivers,moisVente,quartier,superficiePorcheOuvert,conditionGlobale,qualiteGlobale,alleePavee,superficiePiscine,qualitePiscine,materiauToit,styleToit,conditionVente,prix,typeVente,superficieSolarium,typeRouteAcces,nbPieces,superficieTotaleSousSol,utilites,superficieTerrasseBois,anneeConstruction,anneeRenovation,anneeVente
856,854,0,,3,1Fam,TA,No,706.0,0.0,GLQ,Unf,1.0,0.0,Gd,150.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,50.910865920000006,2.0,TA,RFn,TA,Attchd,2003.0,158.86419840000002,1,GasA,Ex,2Story,1,1,Gd,Lvl,Gtl,785.030688,Inside,19.812,Reg,0,60,RL,196.0,BrkFace,,0,2,CollgCr,5.66708544,5,7,Y,0,,CompShg,Gable,Normal,191369.77344,WD,0,Pave,8,79.52500224,AllPub,0.0,2003,2003,2008
1262,0,0,,3,1Fam,TA,Gd,978.0,0.0,ALQ,Unf,0.0,1.0,Gd,284.0,Y,Feedr,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,,TA,1,CBlock,2,Typ,42.7353984,2.0,TA,RFn,TA,Attchd,1976.0,117.24363648,0,GasA,Ex,1Story,2,1,TA,Lvl,Gtl,891.869184,FR2,24.384,Reg,0,20,RL,0.0,None,,0,5,Veenker,0.0,8,6,Y,0,,CompShg,Gable,Normal,166588.07616,WD,0,Pave,6,117.24363648,AllPub,27.68510592,1976,1976,2007
920,866,0,,3,1Fam,TA,Mn,486.0,0.0,GLQ,Unf,1.0,0.0,Gd,434.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,56.485048320000004,2.0,TA,RFn,TA,Attchd,2001.0,165.92482944000002,1,GasA,Ex,2Story,3,1,Gd,Lvl,Gtl,1045.1592,Inside,20.7264,IR1,0,60,RL,162.0,BrkFace,,0,9,CollgCr,3.9019276800000005,5,7,Y,0,,CompShg,Gable,Normal,205137.38304,WD,0,Pave,6,85.4707968,AllPub,0.0,2001,2002,2008
961,756,0,,3,1Fam,Gd,No,216.0,0.0,ALQ,Unf,1.0,0.0,TA,540.0,Y,Norm,Norm,SBrkr,272,TA,TA,Wd Sdng,Wd Shng,,Gd,1,BrkTil,1,Typ,59.64375168,3.0,TA,Unf,TA,Detchd,1998.0,159.51451968,0,GasA,Gd,2Story,4,1,Gd,Lvl,Gtl,887.2240320000001,Corner,18.288,IR1,0,70,RL,0.0,None,,0,2,Crawfor,3.2516064,5,7,Y,0,,CompShg,Gable,Abnorml,128497.6896,WD,0,Pave,7,70.23469824,AllPub,0.0,1915,1970,2006
1145,1053,0,,4,1Fam,TA,Av,655.0,0.0,GLQ,Unf,1.0,0.0,Gd,490.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,77.66694144,3.0,TA,RFn,TA,Attchd,2000.0,204.20088192,1,GasA,Ex,2Story,5,1,Gd,Lvl,Gtl,1324.7973504000001,FR2,25.6032,IR1,0,60,RL,350.0,BrkFace,,0,12,NoRidge,7.803855360000001,5,8,Y,0,,CompShg,Gable,Normal,229460.16,WD,0,Pave,9,106.37398080000001,AllPub,17.837383680000002,2000,2000,2008
796,566,320,,1,1Fam,TA,No,732.0,0.0,GLQ,Unf,1.0,0.0,Gd,64.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,,0,Wood,1,Typ,44.593459200000005,2.0,TA,Unf,TA,Attchd,1993.0,126.53394048000001,1,GasA,Ex,1.5Fin,6,1,TA,Lvl,Gtl,1311.3264096,Inside,25.908,IR1,0,50,RL,0.0,None,Shed,700,10,Mitchel,2.7870912000000003,5,5,Y,0,,CompShg,Gable,Normal,131251.21152,WD,0,Pave,5,73.95081984000001,AllPub,3.7161216,1993,1995,2009
1694,0,0,,3,1Fam,TA,Av,1369.0,0.0,GLQ,Unf,1.0,0.0,Ex,317.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,59.086333440000004,2.0,TA,RFn,TA,Attchd,2004.0,157.37774976,0,GasA,Ex,1Story,7,1,Gd,Lvl,Gtl,936.83425536,Inside,22.86,Reg,0,20,RL,186.0,Stone,,0,8,Somerst,5.29547328,5,8,Y,0,,CompShg,Gable,Normal,281777.07648,WD,0,Pave,7,156.63452544,AllPub,23.690275200000002,2004,2005,2007
1107,983,0,,3,1Fam,TA,Mn,859.0,32.0,ALQ,BLQ,1.0,0.0,Gd,216.0,Y,PosN,Norm,SBrkr,228,TA,TA,HdBoard,HdBoard,,TA,2,CBlock,2,Typ,44.96507136,2.0,TA,RFn,TA,Attchd,1973.0,194.1673536,1,GasA,Ex,2Story,8,1,TA,Lvl,Gtl,964.5193612800001,Corner,,IR1,0,60,RL,240.0,Stone,Shed,350,11,NWAmes,18.95222016,6,7,Y,0,,CompShg,Gable,Normal,183568.128,WD,0,Pave,7,102.84366528000001,AllPub,21.8322144,1973,1973,2009
1022,752,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,952.0,Y,Artery,Norm,FuseF,205,TA,TA,BrkFace,Wd Shng,,TA,2,BrkTil,2,Min1,43.478622720000004,2.0,TA,Unf,Fa,Detchd,1931.0,164.80999296000002,0,GasA,Gd,1.5Fin,9,2,TA,Lvl,Gtl,568.5666048,Inside,15.5448,Reg,0,50,RM,0.0,None,,0,4,OldTown,0.0,5,7,Y,0,,CompShg,Gable,Abnorml,119227.499136,WD,0,Pave,8,88.44369408,AllPub,8.3612736,1931,1950,2008
1077,0,0,,2,2fmCon,TA,No,851.0,0.0,GLQ,Unf,1.0,0.0,TA,140.0,Y,Artery,Artery,SBrkr,0,TA,TA,MetalSd,MetalSd,,TA,2,BrkTil,1,Typ,19.045123200000003,1.0,TA,RFn,Gd,Attchd,1939.0,100.05657408,0,GasA,Ex,1.5Unf,10,2,TA,Lvl,Gtl,689.3405568000001,Corner,15.24,Reg,0,190,RL,0.0,None,,0,1,BrkSide,0.37161216,6,5,Y,0,,CompShg,Gable,Normal,108305.19552,WD,0,Pave,5,92.06691264000001,AllPub,0.0,1939,1950,2008
