superficieEtage1,superficieEtage2,superficieRallonge3Saisons,typeAlleeAcces,nbChambres,typeBatiment,conditionSousSol,expositionSousSol,superficieFinieSousSol1,superficieFinieSousSol2,qualiteSurfaceFinieSousSol1,qualiteSurfaceFinieSousSol2,nbSallesBainSs,nbDemiSallesBainSs,qualiteSousSol,superficieSousSolNonAmenagee,climatisation,proxRoute1,proxRoute2,systElectrique,superficiePorcheFerme,conditionExterieur,qualiteExterieur,materiauExterieur1,materiauExterieur2,cloture,qualiteCheminee,nbCheminees,fondation,nbSallesBain,fonctionnalites,superficieGarage,nbPlacesVoiture,conditionGarage,interieurGarage,qualiteGarage,typeGarage,anneeConstrGarage,superficieHabitableSaufSs,nbDemiSallesBain,chauffage,qualiteChauffage,styleBatiment,id,nbCuisines,qualiteCuisine,contourTerrain,penteTerrain,superficieTerrain,configTerrain,longTerrainRue,formeTerrain,superficieQualiteInferieure,typeClasseBatiment,zonage,superficiePlacageMaconnerie,typePlacageMaconnerie,elementsDivers,valeursElementsDivers,moisVente,quartier,superficiePorcheOuvert,conditionGlobale,qualiteGlobale,alleePavee,superficiePiscine,qualitePiscine,materiauToit,styleToit,conditionVente,prix,typeVente,superficieSolarium,typeRouteAcces,nbPieces,superficieTotaleSousSol,utilites,superficieTerrasseBois,anneeConstruction,anneeRenovation,anneeVente,date_taux_inflation,taux_inflation,changement_annuel_taux_inflation,annee_taux_inflation,date_taux_criminalite,ames_taux_criminalite,iowa_taux_criminalite,etatsunis_taux_criminalite,annee_taux_criminalite,annee_indice_prix_logements,moyenne_indice_prix_logements,Latitude,Longitude,Coordonnées
856,854,0,No alley access,3,1Fam,TA,No,706.0,0.0,GLQ,Unf,1.0,0.0,Gd,150.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,No Fireplace,0,PConc,2,Typ,50.910865920000006,2.0,TA,RFn,TA,Attchd,2003.0,158.86419840000002,1,GasA,Ex,2Story,1,1,Gd,Lvl,Gtl,785.030688,Inside,19.812,Reg,0,60,RL,196.0,BrkFace,No Miscellaneous feature,0,2,CollgCr,5.66708544,5,7,Y,0,No Pool,CompShg,Gable,Normal,191369.77344,WD,0,Pave,8,79.52500224,AllPub,0.0,2003,2003,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.022234536585565,-93.6517065649376,"42.022234536585565, -93.6517065649376"
1262,0,0,No alley access,3,1Fam,TA,Gd,978.0,0.0,ALQ,Unf,0.0,1.0,Gd,284.0,Y,Feedr,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,No Fence,TA,1,CBlock,2,Typ,42.7353984,2.0,TA,RFn,TA,Attchd,1976.0,117.24363648,0,GasA,Ex,1Story,2,1,TA,Lvl,Gtl,891.869184,FR2,24.384,Reg,0,20,RL,0.0,None,No Miscellaneous feature,0,5,Veenker,0.0,8,6,Y,0,No Pool,CompShg,Gable,Normal,166588.07616,WD,0,Pave,6,117.24363648,AllPub,27.68510592,1976,1976,2007,2007-12-31,2.8527,-0.37,2007,2007-12-31,387.4317,300.1962,471.7739,2007,2007,167.6625,42.04180709605563,-93.6490898164628,"42.04180709605563, -93.6490898164628"
920,866,0,No alley access,3,1Fam,TA,Mn,486.0,0.0,GLQ,Unf,1.0,0.0,Gd,434.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,TA,1,PConc,2,Typ,56.48504832,2.0,TA,RFn,TA,Attchd,2001.0,165.92482944000002,1,GasA,Ex,2Story,3,1,Gd,Lvl,Gtl,1045.1592,Inside,20.7264,IR1,0,60,RL,162.0,BrkFace,No Miscellaneous feature,0,9,CollgCr,3.901927680000001,5,7,Y,0,No Pool,CompShg,Gable,Normal,205137.38304,WD,0,Pave,6,85.4707968,AllPub,0.0,2001,2002,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.022234536585565,-93.6517065649376,"42.022234536585565, -93.6517065649376"
961,756,0,No alley access,3,1Fam,Gd,No,216.0,0.0,ALQ,Unf,1.0,0.0,TA,540.0,Y,Norm,Norm,SBrkr,272,TA,TA,Wd Sdng,Wd Shng,No Fence,Gd,1,BrkTil,1,Typ,59.64375168,3.0,TA,Unf,TA,Detchd,1998.0,159.51451968,0,GasA,Gd,2Story,4,1,Gd,Lvl,Gtl,887.2240320000001,Corner,18.288,IR1,0,70,RL,0.0,None,No Miscellaneous feature,0,2,Crawfor,3.2516064,5,7,Y,0,No Pool,CompShg,Gable,Abnorml,128497.6896,WD,0,Pave,7,70.23469824,AllPub,0.0,1915,1970,2006,2006-12-31,3.2259,-0.17,2006,2006-12-31,279.7815,285.7397,479.3354,2006,2006,163.425,42.02800106252608,-93.60712917413362,"42.02800106252608, -93.60712917413362"
1145,1053,0,No alley access,4,1Fam,TA,Av,655.0,0.0,GLQ,Unf,1.0,0.0,Gd,490.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,TA,1,PConc,2,Typ,77.66694144,3.0,TA,RFn,TA,Attchd,2000.0,204.20088192,1,GasA,Ex,2Story,5,1,Gd,Lvl,Gtl,1324.7973504,FR2,25.6032,IR1,0,60,RL,350.0,BrkFace,No Miscellaneous feature,0,12,NoRidge,7.803855360000001,5,8,Y,0,No Pool,CompShg,Gable,Normal,229460.16,WD,0,Pave,9,106.3739808,AllPub,17.837383680000002,2000,2000,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.04793340295536,-93.64802984529771,"42.04793340295536, -93.64802984529771"
796,566,320,No alley access,1,1Fam,TA,No,732.0,0.0,GLQ,Unf,1.0,0.0,Gd,64.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,No Fireplace,0,Wood,1,Typ,44.593459200000005,2.0,TA,Unf,TA,Attchd,1993.0,126.53394048,1,GasA,Ex,1.5Fin,6,1,TA,Lvl,Gtl,1311.3264096,Inside,25.908,IR1,0,50,RL,0.0,None,Shed,700,10,Mitchel,2.7870912000000003,5,5,Y,0,No Pool,CompShg,Gable,Normal,131251.21152,WD,0,Pave,5,73.95081984000001,AllPub,3.7161216,1993,1995,2009,2009-12-31,-0.3555,-4.19,2009,2009-12-31,309.5867,282.0946,431.8787,2009,2009,167.9225,43.32034163171231,-92.8722657423409,"43.32034163171231, -92.8722657423409"
1694,0,0,No alley access,3,1Fam,TA,Av,1369.0,0.0,GLQ,Unf,1.0,0.0,Ex,317.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,No Fence,Gd,1,PConc,2,Typ,59.08633344,2.0,TA,RFn,TA,Attchd,2004.0,157.37774976,0,GasA,Ex,1Story,7,1,Gd,Lvl,Gtl,936.83425536,Inside,22.86,Reg,0,20,RL,186.0,Stone,No Miscellaneous feature,0,8,Somerst,5.29547328,5,8,Y,0,No Pool,CompShg,Gable,Normal,281777.07648,WD,0,Pave,7,156.63452544,AllPub,23.6902752,2004,2005,2007,2007-12-31,2.8527,-0.37,2007,2007-12-31,387.4317,300.1962,471.7739,2007,2007,167.6625,42.05147116800214,-93.64495042989307,"42.05147116800214, -93.64495042989307"
1107,983,0,No alley access,3,1Fam,TA,Mn,859.0,32.0,ALQ,BLQ,1.0,0.0,Gd,216.0,Y,PosN,Norm,SBrkr,228,TA,TA,HdBoard,HdBoard,No Fence,TA,2,CBlock,2,Typ,44.96507136,2.0,TA,RFn,TA,Attchd,1973.0,194.1673536,1,GasA,Ex,2Story,8,1,TA,Lvl,Gtl,964.51936128,Corner,21.03812727272728,IR1,0,60,RL,240.0,Stone,Shed,350,11,NWAmes,18.95222016,6,7,Y,0,No Pool,CompShg,Gable,Normal,183568.128,WD,0,Pave,7,102.84366528,AllPub,21.8322144,1973,1973,2009,2009-12-31,-0.3555,-4.19,2009,2009-12-31,309.5867,282.0946,431.8787,2009,2009,167.9225,42.0462744726601,-93.66290853948183,"42.0462744726601, -93.66290853948183"
1022,752,0,No alley access,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,952.0,Y,Artery,Norm,FuseF,205,TA,TA,BrkFace,Wd Shng,No Fence,TA,2,BrkTil,2,Min1,43.47862272,2.0,TA,Unf,Fa,Detchd,1931.0,164.80999296000002,0,GasA,Gd,1.5Fin,9,2,TA,Lvl,Gtl,568.5666048,Inside,15.5448,Reg,0,50,RM,0.0,None,No Miscellaneous feature,0,4,OldTown,0.0,5,7,Y,0,No Pool,CompShg,Gable,Abnorml,119227.499136,WD,0,Pave,8,88.44369408,AllPub,8.3612736,1931,1950,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,43.31349599143381,-95.14410804264548,"43.31349599143381, -95.14410804264548"
1077,0,0,No alley access,2,2fmCon,TA,No,851.0,0.0,GLQ,Unf,1.0,0.0,TA,140.0,Y,Artery,Artery,SBrkr,0,TA,TA,MetalSd,MetalSd,No Fence,TA,2,BrkTil,1,Typ,19.045123200000003,1.0,TA,RFn,Gd,Attchd,1939.0,100.05657408,0,GasA,Ex,1.5Unf,10,2,TA,Lvl,Gtl,689.3405568000001,Corner,15.24,Reg,0,190,RL,0.0,None,No Miscellaneous feature,0,1,BrkSide,0.37161216,6,5,Y,0,No Pool,CompShg,Gable,Normal,108305.19552,WD,0,Pave,5,92.06691264,AllPub,0.0,1939,1950,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.02860525428564,-93.63044987597965,"42.02860525428564, -93.63044987597965"
