superficieEtage1,superficieEtage2,superficieRallonge3Saisons,typeAlleeAcces,nbChambres,typeBatiment,conditionSousSol,expositionSousSol,superficieFinieSousSol1,superficieFinieSousSol2,qualiteSurfaceFinieSousSol1,qualiteSurfaceFinieSousSol2,nbSallesBainSs,nbDemiSallesBainSs,superficieSousSolNonAmenagee,climatisation,proxRoute1,proxRoute2,systElectrique,superficiePorcheFerme,conditionExterieur,qualiteExterieur,materiauExterieur1,materiauExterieur2,cloture,qualiteCheminee,nbCheminees,fondation,nbSallesBain,fonctionnalites,superficieGarage,nbPlacesVoiture,conditionGarage,interieurGarage,qualiteGarage,typeGarage,anneeConstrGarage,superficieHabitableSaufSs,nbDemiSallesBain,chauffage,qualiteChauffage,styleBatiment,id,nbCuisines,qualiteCuisine,contourTerrain,penteTerrain,superficieTerrain,configTerrain,longTerrainRue,formeTerrain,superficieQualiteInferieure,typeClasseBatiment,zonage,superficiePlacageMaconnerie,typePlacageMaconnerie,elementsDivers,valeursElementsDivers,moisVente,quartier,superficiePorcheOuvert,conditionGlobale,qualiteGlobale,alleePavee,superficiePiscine,qualitePiscine,materiauToit,styleToit,conditionVente,prix,typeVente,superficieSolarium,typeRouteAcces,nbPieces,superficieTotaleSousSol,utilites,superficieTerrasseBois,anneeConstruction,anneeRenovation,anneeVente,date_taux_inflation,taux_inflation,changement_annuel_taux_inflation,annee_taux_inflation,date_taux_criminalite,ames_taux_criminalite,iowa_taux_criminalite,etatsunis_taux_criminalite,annee_taux_criminalite,annee_indice_prix_logements,moyenne_indice_prix_logements,Latitude,Longitude,Coordonnées,ancienneteRenovation,ancienneteConstruction,superficieTotale,mois_anneeVente,route_ville,autoroute,proximite_gare,proximite_parc,nbTotalSallesBain,noteGlobale,noteMoyenne,hauteurSs
856,854,0,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,706.0,0.0,Bonne qualité de vie,Non fini,1.0,0.0,150.0,Oui,Route ville,Route ville,Boîte à disjoncteurs,0,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Qualité inconnue,0,Fondation Béton,2,Typique,50.910865920000006,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2003.0,158.86419840000002,1,Chauffage air pulsé,Excellent,Bat 2 Etages,1,1,Qualité cusine bonne,Plat,Pente Douce,785.030688,Terrain intérieur,19.812,Régulière,0,Classe 1946 et plus recent,Basse densité,196.0,Placage brique,Non défini,0,2,College Creek,5.66708544,5,7,Pavée,0,Non défini,Bardeau composite,Toit à pignon,Vente normale,191369.77344,Vente Garantie Conventionnelle,0,Pave,8,79.52500224,"Électricité, Gaz, Eau et Egout",0.0,2003,2003,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.022234536585565,-93.6517065649376,"42.022234536585565, -93.6517065649376",5,5,237,2-2008,Oui,Non,Non,Non,3.5,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
1262,0,0,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Bonne exposition,978.0,0.0,Quartiers de vie moyenne,Non fini,0.0,1.0,284.0,Oui,Autoroute,Route ville,Boîte à disjoncteurs,0,Qualité moyenne,Qualité moyenne,Métal,Métal,Pas de clôture,Moyenne,1,Fondation Ciment,2,Typique,42.7353984,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1976.0,117.24363648,0,Chauffage air pulsé,Excellent,Bat 1 Etage,2,1,Qualité cusine bonne,Plat,Pente Douce,891.869184,Terrain avec façade sur plusieurs côtés,24.384,Régulière,0,Classe 1946 et plus recent,Basse densité,0.0,Aucun placage,Non défini,0,5,Autre quartier,0.0,8,6,Pavée,0,Non défini,Bardeau composite,Toit à pignon,Vente normale,166588.07616,Vente Garantie Conventionnelle,0,Pave,6,117.24363648,"Électricité, Gaz, Eau et Egout",27.68510592,1976,1976,2007,2007-12-31,2.8527,-0.37,2007,2007-12-31,387.4317,300.1962,471.7739,2007,2007,167.6625,42.04180709605563,-93.6490898164628,"42.04180709605563, -93.6490898164628",31,31,234,5-2007,Oui,Oui,Non,Non,2.5,14,7.0,Hauteur sous-sol 2.3 - 2.5 m
920,866,0,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition minimale,486.0,0.0,Bonne qualité de vie,Non fini,1.0,0.0,434.0,Oui,Route ville,Route ville,Boîte à disjoncteurs,0,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Moyenne,1,Fondation Béton,2,Typique,56.48504832,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2001.0,165.92482944000002,1,Chauffage air pulsé,Excellent,Bat 2 Etages,3,1,Qualité cusine bonne,Plat,Pente Douce,1045.1592,Terrain intérieur,20.7264,Irrégulière,0,Classe 1946 et plus recent,Basse densité,162.0,Placage brique,Non défini,0,9,College Creek,3.901927680000001,5,7,Pavée,0,Non défini,Bardeau composite,Toit à pignon,Vente normale,205137.38304,Vente Garantie Conventionnelle,0,Pave,6,85.4707968,"Électricité, Gaz, Eau et Egout",0.0,2001,2002,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.022234536585565,-93.6517065649376,"42.022234536585565, -93.6517065649376",6,7,250,9-2008,Oui,Non,Non,Non,3.5,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
961,756,0,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,216.0,0.0,Quartiers de vie moyenne,Non fini,1.0,0.0,540.0,Oui,Route ville,Route ville,Boîte à disjoncteurs,272,Qualité moyenne,Qualité moyenne,Bois,Autre matériau extérieur  2,Pas de clôture,Bon,1,Fondation Brique,1,Typique,59.64375168,3.0,Condition garage bonne,Non fini,Typique/Moyenne,Détaché de la maison,1998.0,159.51451968,0,Chauffage air pulsé,Bon,Bat 2 Etages,4,1,Qualité cusine bonne,Plat,Pente Douce,887.2240320000001,Terrain en coin,18.288,Irrégulière,0,Classe 1945 et plus ancien,Basse densité,0.0,Aucun placage,Non défini,0,2,Autre quartier,3.2516064,5,7,Pavée,0,Non défini,Bardeau composite,Toit à pignon,"Echange, saisie, vente rapide",128497.6896,Vente Garantie Conventionnelle,0,Pave,7,70.23469824,"Électricité, Gaz, Eau et Egout",0.0,1915,1970,2006,2006-12-31,3.2259,-0.17,2006,2006-12-31,279.7815,285.7397,479.3354,2006,2006,163.425,42.02800106252608,-93.60712917413362,"42.02800106252608, -93.60712917413362",36,91,229,2-2006,Oui,Non,Non,Non,2.0,12,6.0,Hauteur sous-sol 2 - 2.2 m
1145,1053,0,Pas d'accès à l'allée,4,Unifamilial,Condition Ss Bonne,Exposition moyenne,655.0,0.0,Bonne qualité de vie,Non fini,1.0,0.0,490.0,Oui,Route ville,Route ville,Boîte à disjoncteurs,0,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Moyenne,1,Fondation Béton,2,Typique,77.66694144,3.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000.0,204.20088192,1,Chauffage air pulsé,Excellent,Bat 2 Etages,5,1,Qualité cusine bonne,Plat,Pente Douce,1324.7973504,Terrain avec façade sur plusieurs côtés,25.6032,Irrégulière,0,Classe 1946 et plus recent,Basse densité,350.0,Placage brique,Non défini,0,12,Autre quartier,7.803855360000001,5,8,Pavée,0,Non défini,Bardeau composite,Toit à pignon,Vente normale,229460.16,Vente Garantie Conventionnelle,0,Pave,9,106.3739808,"Électricité, Gaz, Eau et Egout",17.837383680000002,2000,2000,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.04793340295536,-93.64802984529771,"42.04793340295536, -93.64802984529771",8,8,310,12-2008,Oui,Non,Non,Non,3.5,13,6.5,Hauteur sous-sol 2.3 - 2.5 m
796,566,320,Pas d'accès à l'allée,1,Unifamilial,Condition Ss Bonne,Aucune exposition,732.0,0.0,Bonne qualité de vie,Non fini,1.0,0.0,64.0,Oui,Route ville,Route ville,Boîte à disjoncteurs,0,Qualité moyenne,Qualité moyenne,Vinyle,Vinyle,Intimité minimale,Qualité inconnue,0,Fondation Autre,1,Typique,44.593459200000005,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Garage Attaché à la maison,1993.0,126.53394048,1,Chauffage air pulsé,Excellent,Bat 1.5 Etage,6,1,Qualité cusine bonne,Plat,Pente Douce,1311.3264096,Terrain intérieur,25.908,Irrégulière,0,Classe Autre,Basse densité,0.0,Aucun placage,Remise,700,10,Autre quartier,2.7870912000000003,5,5,Pavée,0,Non défini,Bardeau composite,Toit à pignon,Vente normale,131251.21152,Vente Garantie Conventionnelle,0,Pave,5,73.95081984000001,"Électricité, Gaz, Eau et Egout",3.7161216,1993,1995,2009,2009-12-31,-0.3555,-4.19,2009,2009-12-31,309.5867,282.0946,431.8787,2009,2009,167.9225,43.32034163171231,-92.8722657423409,"43.32034163171231, -92.8722657423409",14,16,199,10-2009,Oui,Non,Non,Non,2.5,10,5.0,Hauteur sous-sol 2.3 - 2.5 m
1694,0,0,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition moyenne,1369.0,0.0,Bonne qualité de vie,Non fini,1.0,0.0,317.0,Oui,Route ville,Route ville,Boîte à disjoncteurs,0,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Bon,1,Fondation Béton,2,Typique,59.08633344,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2004.0,157.37774976,0,Chauffage air pulsé,Excellent,Bat 1 Etage,7,1,Qualité cusine bonne,Plat,Pente Douce,936.83425536,Terrain intérieur,22.86,Régulière,0,Classe 1946 et plus recent,Basse densité,186.0,Placage pierre,Non défini,0,8,Somerset,5.29547328,5,8,Pavée,0,Non défini,Bardeau composite,Toit à pignon,Vente normale,281777.07648,Vente Garantie Conventionnelle,0,Pave,7,156.63452544,"Électricité, Gaz, Eau et Egout",23.6902752,2004,2005,2007,2007-12-31,2.8527,-0.37,2007,2007-12-31,387.4317,300.1962,471.7739,2007,2007,167.6625,42.05147116800214,-93.64495042989309,"42.05147116800214, -93.64495042989307",2,3,313,8-2007,Oui,Non,Non,Non,3.0,13,6.5,Hauteur sous-sol > 2.5 m
1107,983,0,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition minimale,859.0,32.0,Quartiers de vie moyenne,Quartiers de vie sous la moyenne,1.0,0.0,216.0,Oui,Proximité parc,Route ville,Boîte à disjoncteurs,228,Qualité moyenne,Qualité moyenne,Panneau dur,Panneau dur,Pas de clôture,Moyenne,2,Fondation Ciment,2,Typique,44.96507136,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1973.0,194.1673536,1,Chauffage air pulsé,Excellent,Bat 2 Etages,8,1,Qualité cusine bonne,Plat,Pente Douce,964.51936128,Terrain en coin,21.03812727272728,Irrégulière,0,Classe 1946 et plus recent,Basse densité,240.0,Placage pierre,Remise,350,11,Northwest Ames,18.95222016,6,7,Pavée,0,Non défini,Bardeau composite,Toit à pignon,Vente normale,183568.128,Vente Garantie Conventionnelle,0,Pave,7,102.84366528,"Électricité, Gaz, Eau et Egout",21.8322144,1973,1973,2009,2009-12-31,-0.3555,-4.19,2009,2009-12-31,309.5867,282.0946,431.8787,2009,2009,167.9225,42.0462744726601,-93.66290853948183,"42.0462744726601, -93.66290853948183",36,36,296,11-2009,Oui,Non,Non,Oui,3.5,13,6.5,Hauteur sous-sol 2.3 - 2.5 m
1022,752,0,Pas d'accès à l'allée,2,Unifamilial,Condition Ss Bonne,Aucune exposition,0.0,0.0,Non fini,Non fini,0.0,0.0,952.0,Oui,Autoroute,Route ville,Boîte à fusibles,205,Qualité moyenne,Qualité moyenne,Autre matériau extérieur,Autre matériau extérieur  2,Pas de clôture,Moyenne,2,Fondation Brique,2,Déductions mineures,43.47862272,2.0,Condition garage bonne,Non fini,Faible,Détaché de la maison,1931.0,164.80999296000002,0,Chauffage air pulsé,Bon,Bat 1.5 Etage,9,2,Qualité cusine bonne,Plat,Pente Douce,568.5666048,Terrain intérieur,15.5448,Régulière,0,Classe Autre,Haute et moyenne densité,0.0,Aucun placage,Non défini,0,4,Old Town,0.0,5,7,Pavée,0,Non défini,Bardeau composite,Toit à pignon,"Echange, saisie, vente rapide",119227.499136,Vente Garantie Conventionnelle,0,Pave,8,88.44369408,"Électricité, Gaz, Eau et Egout",8.3612736,1931,1950,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,43.31349599143381,-95.14410804264548,"43.31349599143381, -95.14410804264548",58,77,252,4-2008,Oui,Oui,Non,Non,2.0,12,6.0,Hauteur sous-sol 2 - 2.2 m
1077,0,0,Pas d'accès à l'allée,2,Duplex,Condition Ss Bonne,Aucune exposition,851.0,0.0,Bonne qualité de vie,Non fini,1.0,0.0,140.0,Oui,Autoroute,Autoroute,Boîte à disjoncteurs,0,Qualité moyenne,Qualité moyenne,Métal,Métal,Pas de clôture,Moyenne,2,Fondation Brique,1,Typique,19.045123200000003,1.0,Condition garage bonne,Pas parfaitement fini,Bon,Garage Attaché à la maison,1939.0,100.05657408,0,Chauffage air pulsé,Excellent,Bat 1.5 Etage,10,2,Qualité cusine bonne,Plat,Pente Douce,689.3405568000001,Terrain en coin,15.24,Régulière,0,Classe Autre,Basse densité,0.0,Aucun placage,Non défini,0,1,Autre quartier,0.37161216,6,5,Pavée,0,Non défini,Bardeau composite,Toit à pignon,Vente normale,108305.19552,Vente Garantie Conventionnelle,0,Pave,5,92.06691264,"Électricité, Gaz, Eau et Egout",0.0,1939,1950,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.02860525428564,-93.63044987597964,"42.02860525428564, -93.63044987597965",58,69,192,1-2008,Non,Oui,Non,Non,2.0,11,5.5,Hauteur sous-sol 2 - 2.2 m
