superficieEtage1,superficieEtage2,superficieRallonge3Saisons,typeAlleeAcces,nbChambres,typeBatiment,conditionSousSol,expositionSousSol,superficieFinieSousSol1,superficieFinieSousSol2,qualiteSurfaceFinieSousSol1,qualiteSurfaceFinieSousSol2,nbSallesBainSs,nbDemiSallesBainSs,superficieSousSolNonAmenagee,climatisation,proxRoute1,proxRoute2,systElectrique,superficiePorcheFerme,conditionExterieur,qualiteExterieur,materiauExterieur1,materiauExterieur2,cloture,qualiteCheminee,nbCheminees,fondation,nbSallesBain,fonctionnalites,superficieGarage,nbPlacesVoiture,conditionGarage,interieurGarage,qualiteGarage,typeGarage,anneeConstrGarage,superficieHabitableSaufSs,nbDemiSallesBain,chauffage,qualiteChauffage,styleBatiment,id,nbCuisines,qualiteCuisine,contourTerrain,penteTerrain,superficieTerrain,configTerrain,longTerrainRue,formeTerrain,superficieQualiteInferieure,typeClasseBatiment,zonage,superficiePlacageMaconnerie,typePlacageMaconnerie,elementsDivers,valeursElementsDivers,moisVente,quartier,superficiePorcheOuvert,conditionGlobale,qualiteGlobale,alleePavee,superficiePiscine,qualitePiscine,materiauToit,styleToit,conditionVente,prix,typeVente,superficieSolarium,typeRouteAcces,nbPieces,superficieTotaleSousSol,utilites,superficieTerrasseBois,anneeConstruction,anneeRenovation,anneeVente,date_taux_inflation,taux_inflation,changement_annuel_taux_inflation,annee_taux_inflation,date_taux_criminalite,ames_taux_criminalite,iowa_taux_criminalite,etatsunis_taux_criminalite,annee_taux_criminalite,annee_indice_prix_logements,moyenne_indice_prix_logements,Latitude,Longitude,Coordonnées,ancienneteRenovation,ancienneteConstruction,superficieTotale,mois_anneeVente,route_ville,autoroute,proximite_gare,proximite_parc,nbTotalSallesBain,noteGlobale,noteMoyenne,hauteurSs
500-1000 m2,501-1000 m2,Pas de rallonge 3 saisons,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,Non fini,1.0,0.0,< 500 m2,Oui,Route ville,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Qualité inconnue,0,Fondation Béton,1,Typique,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,150-200 m2,1,Chauffage air pulsé,Excellent,Bat 2 Etages,1,1,Qualité cusine bonne,Plat,Pente Douce,Entre 501 et 1000 m2,Terrain intérieur,Entre 11 et 20 m,Régulière,0 m2,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage brique,Non défini,Pas d elements divers,2,College Creek,> 5 m2,3,4,Pavée,Pas de piscine,Non défini,Bardeau composite,Toit à pignon,Vente normale,191369.77344,Vente Garantie Conventionnelle,Pas de solarium,Pave,8,75-100 m2,"Électricité, Gaz, Eau et Egout",0,2000-2005,2000-2005,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.022234536585565,-93.6517065649376,"42.022234536585565, -93.6517065649376",5,5,200-300,2-2008,Oui,Non,Non,Non,3.5,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
1000-1500 m2,0 m2,Pas de rallonge 3 saisons,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Bonne exposition,500-1000 m2,0,Quartiers de vie moyenne,Non fini,0.0,1.0,< 500 m2,Oui,Autoroute,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Métal,Métal,Pas de clôture,Moyenne,1,Fondation Ciment,1,Typique,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1970-1979,100-150 m2,0,Chauffage air pulsé,Excellent,Bat 1 Etage,2,1,Qualité cusine bonne,Plat,Pente Douce,Entre 501 et 1000 m2,Terrain avec façade sur plusieurs côtés,Entre 21 et 30 m,Régulière,0 m2,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,5,Autre quartier,0,4,3,Pavée,Pas de piscine,Non défini,Bardeau composite,Toit à pignon,Vente normale,166588.07616,Vente Garantie Conventionnelle,Pas de solarium,Pave,6,100-150 m2,"Électricité, Gaz, Eau et Egout",> 20 m2,1970-1980,1970-1980,2007,2007-12-31,2.8527,-0.37,2007,2007-12-31,387.4317,300.1962,471.7739,2007,2007,167.6625,42.04180709605563,-93.6490898164628,"42.04180709605563, -93.6490898164628",31,31,200-300,5-2007,Oui,Oui,Non,Non,2.5,14,7.0,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,501-1000 m2,Pas de rallonge 3 saisons,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition minimale,< 500 m2,0,Bonne qualité de vie,Non fini,1.0,0.0,< 500 m2,Oui,Route ville,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Moyenne,1,Fondation Béton,1,Typique,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,150-200 m2,1,Chauffage air pulsé,Excellent,Bat 2 Etages,3,1,Qualité cusine bonne,Plat,Pente Douce,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Irrégulière,0 m2,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage brique,Non défini,Pas d elements divers,9,College Creek,< 5 m2,3,4,Pavée,Pas de piscine,Non défini,Bardeau composite,Toit à pignon,Vente normale,205137.38304,Vente Garantie Conventionnelle,Pas de solarium,Pave,6,75-100 m2,"Électricité, Gaz, Eau et Egout",0,2000-2005,2000-2005,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.022234536585565,-93.6517065649376,"42.022234536585565, -93.6517065649376",6,7,200-300,9-2008,Oui,Non,Non,Non,3.5,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,501-1000 m2,Pas de rallonge 3 saisons,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,< 500 m2,0,Quartiers de vie moyenne,Non fini,1.0,0.0,500-1000 m2,Oui,Route ville,Route ville,Boîte à disjoncteurs,201-300 m2,Qualité moyenne,Qualité moyenne,Bois,Autre matériau extérieur  2,Pas de clôture,Bon,1,Fondation Brique,1,Typique,40-60 m2,3.0,Condition garage bonne,Non fini,Typique/Moyenne,Détaché de la maison,1990-1999,150-200 m2,0,Chauffage air pulsé,Bon,Bat 2 Etages,4,1,Qualité cusine bonne,Plat,Pente Douce,Entre 501 et 1000 m2,Terrain en coin,Entre 11 et 20 m,Irrégulière,0 m2,Classe 1945 et plus ancien,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,2,Autre quartier,< 5 m2,3,4,Pavée,Pas de piscine,Non défini,Bardeau composite,Toit à pignon,"Echange, saisie, vente rapide",128497.6896,Vente Garantie Conventionnelle,Pas de solarium,Pave,7,50-75 m2,"Électricité, Gaz, Eau et Egout",0,1900-1925,1970-1980,2006,2006-12-31,3.2259,-0.17,2006,2006-12-31,279.7815,285.7397,479.3354,2006,2006,163.425,42.02800106252608,-93.60712917413362,"42.02800106252608, -93.60712917413362",36,91,200-300,2-2006,Oui,Non,Non,Non,2.0,12,6.0,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,1001-1500 m2,Pas de rallonge 3 saisons,Pas d'accès à l'allée,4,Unifamilial,Condition Ss Bonne,Exposition moyenne,500-1000 m2,0,Bonne qualité de vie,Non fini,1.0,0.0,< 500 m2,Oui,Route ville,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Moyenne,1,Fondation Béton,1,Typique,60-80 m2,3.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,200-250 m2,1,Chauffage air pulsé,Excellent,Bat 2 Etages,5,1,Qualité cusine bonne,Plat,Pente Douce,Entre 1001 et 2000 m2,Terrain avec façade sur plusieurs côtés,Entre 21 et 30 m,Irrégulière,0 m2,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage brique,Non défini,Pas d elements divers,12,Autre quartier,> 5 m2,3,4,Pavée,Pas de piscine,Non défini,Bardeau composite,Toit à pignon,Vente normale,229460.16,Vente Garantie Conventionnelle,Pas de solarium,Pave,9,100-150 m2,"Électricité, Gaz, Eau et Egout",10-20 m2,2000-2005,2000-2005,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.04793340295536,-93.64802984529771,"42.04793340295536, -93.64802984529771",8,8,300-400,12-2008,Oui,Non,Non,Non,3.5,13,6.5,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,501-1000 m2,> 201 m2,Pas d'accès à l'allée,1,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,Non fini,1.0,0.0,< 500 m2,Oui,Route ville,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Vinyle,Vinyle,Intimité minimale,Qualité inconnue,0,Fondation Autre,1,Typique,40-60 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Garage Attaché à la maison,1990-1999,100-150 m2,1,Chauffage air pulsé,Excellent,Bat 1.5 Etage,6,1,Qualité cusine bonne,Plat,Pente Douce,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Irrégulière,0 m2,Classe Autre,Basse densité,0,Aucun placage,Remise,< 1000,10,Autre quartier,< 5 m2,3,3,Pavée,Pas de piscine,Non défini,Bardeau composite,Toit à pignon,Vente normale,131251.21152,Vente Garantie Conventionnelle,Pas de solarium,Pave,5,50-75 m2,"Électricité, Gaz, Eau et Egout",< 10 m2,1990-1995,1995-2000,2009,2009-12-31,-0.3555,-4.19,2009,2009-12-31,309.5867,282.0946,431.8787,2009,2009,167.9225,43.32034163171231,-92.8722657423409,"43.32034163171231, -92.8722657423409",14,16,< 200,10-2009,Oui,Non,Non,Non,2.5,10,5.0,Hauteur sous-sol 2.3 - 2.5 m
1500-2000 m2,0 m2,Pas de rallonge 3 saisons,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition moyenne,1000-1500 m2,0,Bonne qualité de vie,Non fini,1.0,0.0,< 500 m2,Oui,Route ville,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Bon,1,Fondation Béton,1,Typique,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,150-200 m2,0,Chauffage air pulsé,Excellent,Bat 1 Etage,7,1,Qualité cusine bonne,Plat,Pente Douce,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,0 m2,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage pierre,Non défini,Pas d elements divers,8,Somerset,> 5 m2,3,4,Pavée,Pas de piscine,Non défini,Bardeau composite,Toit à pignon,Vente normale,281777.07648,Vente Garantie Conventionnelle,Pas de solarium,Pave,7,> 150 m2,"Électricité, Gaz, Eau et Egout",> 20 m2,2000-2005,2005-2010,2007,2007-12-31,2.8527,-0.37,2007,2007-12-31,387.4317,300.1962,471.7739,2007,2007,167.6625,42.05147116800214,-93.64495042989309,"42.05147116800214, -93.64495042989307",2,3,300-400,8-2007,Oui,Non,Non,Non,3.0,13,6.5,Hauteur sous-sol > 2.5 m
1000-1500 m2,501-1000 m2,Pas de rallonge 3 saisons,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition minimale,500-1000 m2,< 500 m2,Quartiers de vie moyenne,Quartiers de vie sous la moyenne,1.0,0.0,< 500 m2,Oui,Proximité parc,Route ville,Boîte à disjoncteurs,201-300 m2,Qualité moyenne,Qualité moyenne,Panneau dur,Panneau dur,Pas de clôture,Moyenne,2,Fondation Ciment,1,Typique,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1970-1979,150-200 m2,1,Chauffage air pulsé,Excellent,Bat 2 Etages,8,1,Qualité cusine bonne,Plat,Pente Douce,Entre 501 et 1000 m2,Terrain en coin,Entre 21 et 30 m,Irrégulière,0 m2,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage pierre,Remise,< 1000,11,Northwest Ames,> 5 m2,3,4,Pavée,Pas de piscine,Non défini,Bardeau composite,Toit à pignon,Vente normale,183568.128,Vente Garantie Conventionnelle,Pas de solarium,Pave,7,100-150 m2,"Électricité, Gaz, Eau et Egout",> 20 m2,1970-1980,1970-1980,2009,2009-12-31,-0.3555,-4.19,2009,2009-12-31,309.5867,282.0946,431.8787,2009,2009,167.9225,42.0462744726601,-93.66290853948183,"42.0462744726601, -93.66290853948183",36,36,200-300,11-2009,Oui,Non,Non,Oui,3.5,13,6.5,Hauteur sous-sol 2.3 - 2.5 m
1000-1500 m2,501-1000 m2,Pas de rallonge 3 saisons,Pas d'accès à l'allée,2,Unifamilial,Condition Ss Bonne,Aucune exposition,0,0,Non fini,Non fini,0.0,0.0,500-1000 m2,Oui,Autoroute,Route ville,Boîte à fusibles,201-300 m2,Qualité moyenne,Qualité moyenne,Autre matériau extérieur,Autre matériau extérieur  2,Pas de clôture,Moyenne,2,Fondation Brique,1,Déductions mineures,40-60 m2,2.0,Condition garage bonne,Non fini,Faible,Détaché de la maison,Avant 1950,150-200 m2,0,Chauffage air pulsé,Bon,Bat 1.5 Etage,9,2,Qualité cusine bonne,Plat,Pente Douce,Entre 501 et 1000 m2,Terrain intérieur,Entre 11 et 20 m,Régulière,0 m2,Classe Autre,Haute et moyenne densité,0,Aucun placage,Non défini,Pas d elements divers,4,Old Town,0,3,4,Pavée,Pas de piscine,Non défini,Bardeau composite,Toit à pignon,"Echange, saisie, vente rapide",119227.499136,Vente Garantie Conventionnelle,Pas de solarium,Pave,8,75-100 m2,"Électricité, Gaz, Eau et Egout",< 10 m2,1925-1950,1950-1960,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,43.31349599143381,-95.14410804264548,"43.31349599143381, -95.14410804264548",58,77,200-300,4-2008,Oui,Oui,Non,Non,2.0,12,6.0,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,0 m2,Pas de rallonge 3 saisons,Pas d'accès à l'allée,2,Duplex,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,Non fini,1.0,0.0,< 500 m2,Oui,Autoroute,Autoroute,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Métal,Métal,Pas de clôture,Moyenne,2,Fondation Brique,1,Typique,< 20 m2,1.0,Condition garage bonne,Pas parfaitement fini,Bon,Garage Attaché à la maison,Avant 1950,100-150 m2,0,Chauffage air pulsé,Excellent,Bat 1.5 Etage,10,2,Qualité cusine bonne,Plat,Pente Douce,Entre 501 et 1000 m2,Terrain en coin,Entre 11 et 20 m,Régulière,0 m2,Classe Autre,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,1,Autre quartier,< 5 m2,3,3,Pavée,Pas de piscine,Non défini,Bardeau composite,Toit à pignon,Vente normale,108305.19552,Vente Garantie Conventionnelle,Pas de solarium,Pave,5,75-100 m2,"Électricité, Gaz, Eau et Egout",0,1925-1950,1950-1960,2008,2008-12-31,3.8391,0.99,2008,2008-12-31,313.1278,288.1213,458.6142,2008,2008,167.5975,42.02860525428564,-93.63044987597964,"42.02860525428564, -93.63044987597965",58,69,< 200,1-2008,Non,Oui,Non,Non,2.0,11,5.5,Hauteur sous-sol 2 - 2.2 m
