superficieEtage1,superficieEtage2,typeAlleeAcces,nbChambres,typeBatiment,conditionSousSol,expositionSousSol,superficieFinieSousSol1,superficieFinieSousSol2,qualiteSurfaceFinieSousSol1,superficieSousSolNonAmenagee,climatisation,proxRoute1,systElectrique,superficiePorcheFerme,conditionExterieur,qualiteExterieur,materiauExterieur1,materiauExterieur2,cloture,qualiteCheminee,nbCheminees,fondation,superficieGarage,nbPlacesVoiture,conditionGarage,interieurGarage,qualiteGarage,typeGarage,anneeConstrGarage,superficieHabitableSaufSs,chauffage,qualiteChauffage,styleBatiment,nbCuisines,qualiteCuisine,superficieTerrain,configTerrain,longTerrainRue,formeTerrain,typeClasseBatiment,zonage,superficiePlacageMaconnerie,typePlacageMaconnerie,elementsDivers,valeursElementsDivers,moisVente,quartier,superficiePorcheOuvert,conditionGlobale,qualiteGlobale,alleePavee,materiauToit,styleToit,conditionVente,prix,typeVente,superficieSolarium,nbPieces,superficieTotaleSousSol,superficieTerrasseBois,anneeConstruction,anneeRenovation,anneeVente,taux_inflation,ames_taux_criminalite,moyenne_indice_prix_logements,superficieTotale,autoroute,proximite_gare,proximite_parc,nbTotalSallesBain,noteGlobale,noteMoyenne,hauteurSs
500-1000 m2,501-1000 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Qualité inconnue,0,Fondation Béton,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,150-200 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 11 et 20 m,Régulière,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage brique,Non défini,Pas d elements divers,2,College Creek,> 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,191369.77344,Vente Garantie Conventionnelle,Pas de solarium,8,75-100 m2,0,2000-2005,2000-2005,2008,3.8391,313.1278,167.5975,200-300,Non,Non,Non,3.5,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Bonne exposition,500-1000 m2,0,Quartiers de vie moyenne,< 500 m2,Oui,Autoroute,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Métal,Métal,Pas de clôture,Moyenne,1,Fondation Ciment,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1970-1979,100-150 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain avec façade sur plusieurs côtés,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,5,Autre quartier,0,4,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,166588.07616,Vente Garantie Conventionnelle,Pas de solarium,6,100-150 m2,> 20 m2,1970-1980,1970-1980,2007,2.8527,387.4317,167.6625,200-300,Oui,Non,Non,2.5,14,7.0,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,501-1000 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition minimale,< 500 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Moyenne,1,Fondation Béton,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,150-200 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage brique,Non défini,Pas d elements divers,9,College Creek,< 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,205137.38304,Vente Garantie Conventionnelle,Pas de solarium,6,75-100 m2,0,2000-2005,2000-2005,2008,3.8391,313.1278,167.5975,200-300,Non,Non,Non,3.5,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,501-1000 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,< 500 m2,0,Quartiers de vie moyenne,500-1000 m2,Oui,Route ville,Boîte à disjoncteurs,201-300 m2,Qualité moyenne,Qualité moyenne,Bois,Autre matériau extérieur  2,Pas de clôture,Bon,1,Fondation Brique,40-60 m2,3.0,Condition garage bonne,Non fini,Typique/Moyenne,Détaché de la maison,1990-1999,150-200 m2,Chauffage air pulsé,Bon,Bat 2 Etages,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain en coin,Entre 11 et 20 m,Irrégulière,Classe 1945 et plus ancien,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,2,Autre quartier,< 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,"Echange, saisie, vente rapide",128497.6896,Vente Garantie Conventionnelle,Pas de solarium,7,50-75 m2,0,1900-1925,1970-1980,2006,3.2259,279.7815,163.425,200-300,Non,Non,Non,2.0,12,6.0,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,1001-1500 m2,Pas d'accès à l'allée,4,Unifamilial,Condition Ss Bonne,Exposition moyenne,500-1000 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Moyenne,1,Fondation Béton,60-80 m2,3.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,200-250 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain avec façade sur plusieurs côtés,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage brique,Non défini,Pas d elements divers,12,Autre quartier,> 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,229460.16,Vente Garantie Conventionnelle,Pas de solarium,9,100-150 m2,10-20 m2,2000-2005,2000-2005,2008,3.8391,313.1278,167.5975,300-400,Non,Non,Non,3.5,13,6.5,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,501-1000 m2,Pas d'accès à l'allée,1,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Vinyle,Vinyle,Intimité minimale,Qualité inconnue,0,Fondation Autre,40-60 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Garage Attaché à la maison,1990-1999,100-150 m2,Chauffage air pulsé,Excellent,Bat 1.5 Etage,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Irrégulière,Classe Autre,Basse densité,0,Aucun placage,Remise,< 1000,10,Autre quartier,< 5 m2,3,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,131251.21152,Vente Garantie Conventionnelle,Pas de solarium,5,50-75 m2,< 10 m2,1990-1995,1995-2000,2009,-0.3555,309.5867,167.9225,< 200,Non,Non,Non,2.5,10,5.0,Hauteur sous-sol 2.3 - 2.5 m
1500-2000 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition moyenne,1000-1500 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Bon,1,Fondation Béton,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,150-200 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage pierre,Non défini,Pas d elements divers,8,Somerset,> 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,281777.07648,Vente Garantie Conventionnelle,Pas de solarium,7,> 150 m2,> 20 m2,2000-2005,2005-2010,2007,2.8527,387.4317,167.6625,300-400,Non,Non,Non,3.0,13,6.5,Hauteur sous-sol > 2.5 m
1000-1500 m2,501-1000 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition minimale,500-1000 m2,< 500 m2,Quartiers de vie moyenne,< 500 m2,Oui,Proximité parc,Boîte à disjoncteurs,201-300 m2,Qualité moyenne,Qualité moyenne,Panneau dur,Panneau dur,Pas de clôture,Moyenne,2,Fondation Ciment,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1970-1979,150-200 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain en coin,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage pierre,Remise,< 1000,11,Northwest Ames,> 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,183568.128,Vente Garantie Conventionnelle,Pas de solarium,7,100-150 m2,> 20 m2,1970-1980,1970-1980,2009,-0.3555,309.5867,167.9225,200-300,Non,Non,Oui,3.5,13,6.5,Hauteur sous-sol 2.3 - 2.5 m
1000-1500 m2,501-1000 m2,Pas d'accès à l'allée,2,Unifamilial,Condition Ss Bonne,Aucune exposition,0,0,Non fini,500-1000 m2,Oui,Autoroute,Boîte à fusibles,201-300 m2,Qualité moyenne,Qualité moyenne,Autre matériau extérieur,Autre matériau extérieur  2,Pas de clôture,Moyenne,2,Fondation Brique,40-60 m2,2.0,Condition garage bonne,Non fini,Faible,Détaché de la maison,Avant 1950,150-200 m2,Chauffage air pulsé,Bon,Bat 1.5 Etage,2,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 11 et 20 m,Régulière,Classe Autre,Haute et moyenne densité,0,Aucun placage,Non défini,Pas d elements divers,4,Old Town,0,3,4,Pavée,Bardeau composite,Toit à pignon,"Echange, saisie, vente rapide",119227.499136,Vente Garantie Conventionnelle,Pas de solarium,8,75-100 m2,< 10 m2,1925-1950,1950-1960,2008,3.8391,313.1278,167.5975,200-300,Oui,Non,Non,2.0,12,6.0,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,2,Duplex,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,< 500 m2,Oui,Autoroute,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Métal,Métal,Pas de clôture,Moyenne,2,Fondation Brique,< 20 m2,1.0,Condition garage bonne,Pas parfaitement fini,Bon,Garage Attaché à la maison,Avant 1950,100-150 m2,Chauffage air pulsé,Excellent,Bat 1.5 Etage,2,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain en coin,Entre 11 et 20 m,Régulière,Classe Autre,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,1,Autre quartier,< 5 m2,3,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,108305.19552,Vente Garantie Conventionnelle,Pas de solarium,5,75-100 m2,0,1925-1950,1950-1960,2008,3.8391,313.1278,167.5975,< 200,Oui,Non,Non,2.0,11,5.5,Hauteur sous-sol 2 - 2.2 m
